role,company,location,salary_min,salary_max,posted_days_ago,skills,description
Software Engineer,Google,New York, NY,120000,180000,2,"Python, Java, Cloud Computing","Develop scalable software solutions..."
Data Scientist,Microsoft,Redmond, WA,130000,190000,5,"Machine Learning, Python, SQL","Build predictive models and analyze complex data..."
Backend Developer,Amazon,Seattle, WA,115000,175000,1,"Node.js, AWS, DynamoDB","Design and implement backend APIs for e-commerce..."
Frontend Developer,Meta,Menlo Park, CA,125000,185000,3,"React, Redux, JavaScript","Create interactive user interfaces for social media platforms..."
DevOps Engineer,Netflix,Los Gatos, CA,140000,200000,4,"Docker, Kubernetes, Jenkins","Manage CI/CD pipelines and cloud infrastructure..."
UX Designer,Adobe,San Jose, CA,110000,165000,7,"Figma, Sketch, Prototyping","Design intuitive user experiences for creative tools..."
Cloud Architect,IBM,Austin, TX,150000,220000,6,"Cloud Security, Azure, Hybrid Cloud","Architect enterprise-grade cloud solutions..."
AI Engineer,Tesla,Palo Alto, CA,160000,240000,2,"Deep Learning, PyTorch, Computer Vision","Develop autonomous driving algorithms..."
Cybersecurity Analyst,Palo Alto Networks,Santa Clara, CA,105000,155000,8,"Network Security, SIEM, Forensics","Monitor and respond to security threats..."
Product Manager,Salesforce,San Francisco, CA,135000,195000,5,"Agile, Strategy, Roadmap","Lead product development lifecycle..."
Full Stack Developer,Spotify,New York, NY,120000,180000,3,"Java, React, System Design","Build full-stack features for music streaming..."
Data Analyst,Deloitte,Chicago, IL,85000,125000,9,"Excel, Tableau, SQL","Analyze business data to drive decisions..."
Network Engineer,Cisco,San Jose, CA,100000,150000,6,"Routing, Switching, CCNA","Design and maintain network infrastructure..."
Database Administrator,Oracle,Redwood City, CA,110000,160000,4,"Oracle DB, SQL, Performance Tuning","Manage large-scale databases..."
QA Engineer,Apple,Cupertino, CA,95000,145000,5,"Selenium, Python, Automation","Ensure software quality through automated testing..."
Mobile Developer,Uber,San Francisco, CA,125000,185000,3,"iOS, Swift, Android","Develop mobile applications for ride-sharing..."
Systems Administrator,Intel,Santa Clara, CA,90000,135000,7,"Linux, Windows Server, Scripting","Maintain server infrastructure..."
Business Analyst,JPMorgan Chase,New York, NY,95000,145000,4,"Requirements Gathering, Process Modeling","Bridge the gap between business and IT..."
Marketing Manager,Nike,Beaverton, OR,100000,160000,6,"Digital Marketing, SEO, Analytics","Lead marketing campaigns..."
HR Manager,Target,Minneapolis, MN,80000,120000,8,"Recruitment, Employee Relations, Compliance","Manage human resources functions..."
Civil Engineer,Bechtel,Houston, TX,85000,135000,5,"AutoCAD, Structural Analysis, Project Management","Design and oversee construction projects..."
Mechanical Engineer,General Electric,Boston, MA,90000,140000,4,"SolidWorks, Thermodynamics, Manufacturing","Design mechanical systems and components..."
Electrical Engineer,Siemens,Munich, Germany,95000,150000,6,"Circuit Design, PCB, Power Systems","Develop electrical systems for industrial applications..."
